Stock1,Stock2,Lag,Corr,Freq%,AvgGap,WinRate,AvgProfit,FreqSame%,Score
GOOG,NET,1,-0.0682298651247611,76.92307692307693,3.7650260544498826,74.07407407407408,2.016096234375362,37.234042553191486,17.36380850915301
NET,CRWV,1,-0.1236341110374506,62.96296296296296,8.590499336391138,75.55555555555556,2.2880486830622835,36.17021276595745,17.356402952620428
SNOW,COIN,1,-0.1391558234941097,61.76470588235294,5.318719280104693,73.91304347826086,2.053039021393679,32.97872340425532,17.353552087600953
AVGO,FTNT,1,-0.0796128010810515,65.625,4.20694856165071,75.60975609756098,1.908284476977341,36.17021276595745,17.29929240997182
HOOD,COIN,1,-0.2040198236945375,62.16216216216216,6.766345161350926,71.73913043478261,4.117377681171432,31.91489361702128,17.28189992094466
CRWV,2317.TW,1,-0.1277080418543316,68.18181818181817,9.135713299582992,65.625,10.65431374962354,29.78723404255319,17.263662850675274
6701.T,DSY.PA,1,-0.2159250362448616,62.16216216216216,3.203009776142302,70.2127659574468,2.0715882083105708,28.723404255319156,17.19421514606244
EA,RDDT,1,0.0693189236901178,65.0,4.307018472118629,71.42857142857143,1.4239450589574476,31.91489361702128,17.063814212543814
XYZ,DELL,1,-0.0447189651851067,65.625,4.987498503768439,75.0,2.544515594041805,37.234042553191486,17.004494194698616
SNOW,FTNT,1,0.1518332631473279,67.64705882352942,3.429359522790853,73.17073170731707,1.6755718354837266,35.1063829787234,17.00085317988227
NVDA,PYPL,1,-0.0846275945084326,68.57142857142857,3.762908549754815,73.68421052631578,2.5186495211294995,36.17021276595745,16.998740670650143
6701.T,ADYEN.AS,1,-0.0589170243048637,67.56756756756756,3.400185654064583,71.42857142857143,2.1427647852894585,32.97872340425532,16.982619848339926
HOOD,DELL,1,-0.0818022912645867,64.86486486486487,5.95955179603516,72.5,4.47544439307068,35.1063829787234,16.977806445014515
INTU,KLAC,1,-0.1015101076554235,76.31578947368422,3.4148806379099157,69.44444444444444,1.6801138369532218,32.97872340425532,16.94837590803983
7974.T,ADYEN.AS,1,-0.0807552841371389,68.29268292682927,3.635625428407531,69.04761904761905,2.2655092756947663,30.851063829787236,16.871754762489157
MSFT,SAP,1,-0.0692199069467644,67.56756756756756,2.2643669226765595,71.42857142857143,1.4268156910582477,32.97872340425532,16.851400709620883
TEL,TXN,1,-0.12238674762092,64.70588235294117,3.34957847943438,74.35897435897436,1.3811290080829235,36.17021276595745,16.78823789850296
NVDA,NET,1,-0.0446802192539576,77.14285714285715,4.474290902561861,74.07407407407408,2.5717728584960944,40.42553191489361,16.757516174487893
NET,XYZ,1,-0.0832773375402568,70.37037037037037,5.313762936032562,78.125,2.266325547329293,43.61702127659575,16.714038720551017
BKNG,ASML,1,-0.2036941825537394,70.73170731707317,3.366040712374749,68.29268292682927,1.641296843128593,30.851063829787236,16.712975238515
KLAC,INTU,1,-0.2481527192939109,66.66666666666666,3.691314084930328,72.97297297297297,2.4106975885096125,36.17021276595745,16.619996493852128
ASML,TEL,1,-0.0911677696373552,70.0,3.075642134334247,71.42857142857143,1.936637277700888,35.1063829787234,16.61629567048091
HOOD,INTU,1,-0.1339801210629262,70.27027027027027,4.58611476852652,70.27027027027027,4.127302404000332,35.1063829787234,16.598147167213185
